NOMBRE,NOM_MUN,ENTIDAD,Total UP agropecuaria activas,UP Agricolas,UP Argri Riego ( R ),P UP Riego,UP Riego Gravedad (RG),UP RG Canales revestidos,UP RG Canales de Tierra,UP RG Tuber�a De Compuerta,UP R Por Microaspersi�n,UP R Por Aspersi�n,UP R Por Aspersi�n Pivote Central,UP R Por Aspersi�n Avance Frontal,UP R Por Aspersi�n Ca��n,UP R Por Aspersores,UP R Sistema De Goteo,UP R Mediante Alg�n Otro Sistema
31 YUC,, Yucatán,58036,53567,14407,88.49864649,28.43137255,4.468965517,73.35172414,26.04137931,40.62745098,24.43921569,2.535301669,0.41720154,11.20025674,89.44159178,9.341176471,14.51764706
31 YUC,Abalá,  Abalá,316,263,29,100,31.03448276,0,66.66666667,33.33333333,3.448275862,20.68965517,0,0,16.66666667,83.33333333,3.448275862,55.17241379
31 YUC,Acanceh,  Acanceh,414,365,94,92.55319149,50.57471264,0,95.45454545,4.545454545,5.747126437,24.13793103,0,0,23.80952381,85.71428571,5.747126437,22.98850575
31 YUC,Akil,  Akil,1581,1572,1483,87.862441,5.986185725,16.66666667,23.07692308,61.53846154,24.71220261,80.42977744,0.190839695,0,0.190839695,99.71374046,0.690713738,1.8419033
31 YUC,Baca,  Baca,215,177,60,83.33333333,34,0,58.82352941,47.05882353,46,62,0,0,41.93548387,67.74193548,4,2
31 YUC,Bokobá,  Bokobá,140,130,74,100,4.054054054,0,100,0,2.702702703,9.459459459,0,0,28.57142857,71.42857143,0,87.83783784
31 YUC,Buctzotz,  Buctzotz,511,352,78,53.84615385,21.42857143,33.33333333,66.66666667,0,0,59.52380952,4,0,28,68,21.42857143,4.761904762
31 YUC,Cacalchén,  Cacalchén,316,286,186,86.55913978,29.8136646,0,89.58333333,10.41666667,0.621118012,8.695652174,7.142857143,0,35.71428571,64.28571429,4.347826087,61.49068323
31 YUC,Calotmul,  Calotmul,591,567,17,100,11.76470588,0,100,0,17.64705882,41.17647059,14.28571429,0,28.57142857,71.42857143,29.41176471,23.52941176
31 YUC,Cansahcab,  Cansahcab,256,234,127,98.42519685,42.4,0,39.62264151,60.37735849,0,22.4,0,0,17.85714286,82.14285714,5.6,32
31 YUC,Cantamayec,  Cantamayec,387,356,55,89.09090909,36.73469388,0,61.11111111,38.88888889,61.2244898,2.040816327,0,0,0,100,4.081632653,4.081632653
31 YUC,Celestún,  Celestún,15,7,1,100,100,0,100,0,0,0,0,0,0,0,0,0
31 YUC,Cenotillo,  Cenotillo,357,346,29,96.55172414,32.14285714,11.11111111,88.88888889,0,3.571428571,64.28571429,0,0,27.77777778,77.77777778,10.71428571,7.142857143
31 YUC,Conkal,  Conkal,92,67,46,91.30434783,30.95238095,0,92.30769231,7.692307692,2.380952381,69.04761905,0,0,27.5862069,86.20689655,14.28571429,0
31 YUC,Cuncunul,  Cuncunul,177,172,1,100,100,0,100,0,0,100,0,0,0,100,0,0
31 YUC,Cuzamá,  Cuzamá,213,187,63,88.88888889,1.785714286,0,100,0,1.785714286,8.928571429,0,20,20,60,0,91.07142857
31 YUC,Chacsinkín,  Chacsinkín,512,503,6,100,16.66666667,0,100,0,66.66666667,0,0,0,0,0,66.66666667,0
31 YUC,Chankom,  Chankom,703,670,8,100,75,0,50,66.66666667,25,37.5,0,0,0,100,12.5,0
31 YUC,Chapab,  Chapab,458,448,140,83.57142857,50.42735043,1.694915254,96.61016949,1.694915254,39.31623932,22.22222222,3.846153846,0,0,96.15384615,4.273504274,11.96581197
31 YUC,Chemax,  Chemax,2289,2245,60,100,63.33333333,0,97.36842105,81.57894737,16.66666667,8.333333333,0,0,0,100,31.66666667,5
31 YUC,Chicxulub Pueblo,  Chicxulub Pueblo,42,23,16,81.25,69.23076923,11.11111111,77.77777778,22.22222222,7.692307692,23.07692308,0,0,33.33333333,66.66666667,7.692307692,0
31 YUC,Chichimilá,  Chichimilá,546,507,5,100,80,0,50,50,20,60,0,0,0,100,20,20
31 YUC,Chikindzonot,  Chikindzonot,1071,1049,5,100,0,0,0,0,20,40,0,0,0,100,60,0
